subID,event,group,AlphabetKnowledge_Upper,AlphabetKnowledge_Lower,Decoding,PhonemeMatching,PhonemeSegmenting,EVTRaw,Retell,Grammar,PDE,SWE,WJ_BRS,Age,AlphabetKnowledge,visit
1818,Visit 4,Letter,42,40,2,10,3,93,13,10,84,76,91,72.4510421229377,82,oneyear
1868,Visit 2,Language,49,39,1,14,2,80,9,8,NaN,NaN,NaN,59.906578515112,88,pre
1868,Visit 3,Language,47,46,0,15,2,83,5,5,NaN,NaN,NaN,60.632368776464,93,post
1868,Visit 4,Language,52,51,20,17,5,95,10,10,117,112,124,70.8103829026135,103,oneyear
1869,Visit 2,Letter,45,42,0,13,0,106,12,11,NaN,NaN,NaN,60.338188056651,87,pre
1869,Visit 3,Letter,45,46,0,6,1,108,19,12,NaN,NaN,NaN,60.8923291721419,91,post
1869,Visit 4,Letter,52,52,18,15,7,120,19,13,104,113,114,71.3767520805957,104,oneyear
1878,Visit 2,Language,48,42,14,8,9,100,10,10,NaN,NaN,NaN,67.197081690758,90,pre
1878,Visit 3,Language,47,41,9,12,8,85,15,11,NaN,NaN,NaN,69.135320849759,88,post
1878,Visit 4,Language,50,52,19,17,9,107,19,13,118,115,123,78.2342084610892,102,oneyear
1887,Visit 2,Letter,47,45,0,13,4,87,3,6,NaN,NaN,NaN,66.279977003942,92,pre
1887,Visit 3,Letter,50,48,12,11,3,89,19,13,NaN,NaN,NaN,67.432814096948,98,post
1887,Visit 4,Letter,52,52,20,16,9,101,13,11,99,95,103,77.7075576726529,104,oneyear
1901,Visit 2,Letter,32,30,0,12,0,70,4,4,NaN,NaN,NaN,60.038189881735,62,pre
1901,Visit 3,Letter,35,21,0,8,2,65,7,7,NaN,NaN,NaN,61.11868520952,56,post
1901,Visit 4,Letter,51,49,15,10,4,83,9,9,89,90,107,71.3337485399328,100,oneyear
1916,Visit 2,Letter,38,37,0,9,1,85,8,7,NaN,NaN,NaN,62.142055409549,75,pre
1916,Visit 3,Letter,41,37,0,12,2,91,19,13,NaN,NaN,NaN,63.261904110089,78,post
1916,Visit 4,Letter,50,50,12,11,3,105,12,10,92,90,102,73.6378029639363,100,oneyear
1921,Visit 2,Language,49,44,2,11,0,83,8,7,NaN,NaN,NaN,65.160014235655,93,pre
1921,Visit 3,Language,49,50,11,14,0,93,19,13,NaN,NaN,NaN,66.609860928603,99,post
1921,Visit 4,Language,52,52,19,15,3,90,19,14,123,137,127,76.2267073660388,104,oneyear
1936,Visit 2,Language,37,20,0,9,1,67,18,11,NaN,NaN,NaN,58.954386589283,57,pre
1936,Visit 3,Language,31,18,0,8,0,69,12,9,NaN,NaN,NaN,60.567920499343,49,post
1936,Visit 4,Language,48,46,10,12,4,85,6,6,92,89,106,70.71004891225,94,oneyear
1939,Visit 2,Language,42,33,0,11,1,85,16,11,NaN,NaN,NaN,66.44423455979,75,pre
1939,Visit 3,Language,40,29,0,10,1,85,16,12,NaN,NaN,NaN,68.051905387648,69,post
1939,Visit 4,Language,51,48,10,16,5,92,10,10,102,93,98,78.0014418163235,99,oneyear
1940,Visit 2,Language,28,26,0,10,2,83,18,11,NaN,NaN,NaN,63.817482479194,54,pre
1940,Visit 3,Language,35,24,0,10,1,94,NaN,12,NaN,NaN,NaN,64.935802671923,59,post
1940,Visit 4,Language,46,42,6,12,7,93,19,13,81,82,93,74.1272904803621,88,oneyear
1951,Visit 2,Letter,50,46,3,12,2,85,15,11,NaN,NaN,NaN,69.20649912396,96,pre
1951,Visit 3,Letter,50,48,16,10,4,105,10,10,NaN,NaN,NaN,70.287678858227,98,post
1951,Visit 4,Letter,51,50,20,13,6,104,15,12,95,99,99,80.5365290553365,101,oneyear
1964,Visit 2,Letter,21,22,0,9,0,71,12,10,NaN,NaN,NaN,57.972628303402,43,pre
1964,Visit 3,Letter,28,28,7,11,1,74,14,12,NaN,NaN,NaN,59.122499634983,56,post
1964,Visit 4,Letter,49,49,9,17,6,90,20,13,97,87,103,69.6999790115345,98,oneyear
1966,Visit 2,Language,46,40,0,14,4,105,13,9,NaN,NaN,NaN,73.575750109505,86,pre
