# {"exp_name": "ShowImages", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 24414, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["lctrl", "rctrl"], "participant": "ttt", "monitor": null, "trigger_controller": null, "session": "1", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": false, "verbose": null, "date": "2019-01-09 12_05_31.687140", "file": "/home/sjjoo/git/SSWEF/expcode/r21_event_related.py", "version_used": "2.0.0.dev0+4c31ad2"}
timestamp	event	value
34.7049710751	flip	34.7049691677
34.7382881641	flip	34.7382850647
34.7716150284	flip	34.7716121674
34.7717590332	dotcolorFix	r
34.8049581051	flip	34.8049561977
34.8383111954	flip	34.8383080959
34.8715651035	flip	34.8715620041
34.9048781395	flip	34.9048750401
34.9381980896	flip	34.9381952286
34.9715411663	flip	34.9715380669
35.0048730373	flip	35.0048701763
35.0382080078	flip	35.0382051468
35.0716280937	flip	35.0716261864
35.1049571037	flip	35.1049540043
35.1383080482	flip	35.1383061409
35.1716341972	flip	35.1716310978
35.2049441338	flip	35.2049410343
35.2050881386	dotcolorFix	g
35.2382941246	flip	35.2382910252
35.2716262341	flip	35.2716231346
35.3049621582	flip	35.3049600124
35.3382971287	flip	35.3382952213
35.3716340065	flip	35.3716311455
35.404957056	flip	35.404954195
35.4383032322	flip	35.4383010864
35.4716272354	flip	35.4716250896
35.504956007	flip	35.504953146
35.5382912159	flip	35.5382881165
35.5716280937	flip	35.5716252327
35.60496521	flip	35.6049630642
35.63829422	flip	35.6382911205
35.6716210842	flip	35.6716191769
35.7049651146	flip	35.7049632072
35.7382872105	flip	35.7382850647
35.7716271877	flip	35.771625042
35.8049511909	flip	35.8049490452
35.8382911682	flip	35.8382890224
35.8715500832	flip	35.8715481758
35.8716831207	dotcolorFix	b
35.9048750401	flip	35.9048731327
35.938201189	flip	35.9381990433
35.971624136	flip	35.9716222286
36.0049610138	flip	36.0049591064
36.0382912159	flip	36.0382881165
36.0716130733	flip	36.0716102123
36.1049561501	flip	36.1049530506
36.1382870674	flip	36.1382842064
36.1716251373	flip	36.1716220379
