subj,timepoint,ch_type,min,max,ptp_ampl
prek_1103,pre,mag,-2.747900819166933e-12,1.6477214163158498e-12,4.395622235482783e-12
prek_1103,pre,mag,-2.7137170185269258e-12,1.4275405978802913e-12,4.141257616407217e-12
prek_1103,pre,mag,-1.335766114900436e-12,2.025875600862831e-12,3.361641715763267e-12
prek_1103,pre,mag,-1.6866702250800358e-12,1.4729839064249805e-12,3.1596541315050163e-12
prek_1103,pre,mag,-1.6842075301587752e-12,2.052450920887509e-12,3.736658451046285e-12
prek_1103,pre,mag,-1.7119725604579503e-12,1.349222885121759e-12,3.0611954455797093e-12
prek_1103,pre,mag,-1.6449710840598179e-12,1.0406783830319478e-12,2.6856494670917657e-12
prek_1103,pre,mag,-1.536343602733195e-12,1.9206935375912734e-12,3.4570371403244683e-12
prek_1103,pre,mag,-1.6079256108378004e-12,1.97812860669531e-12,3.58605421753311e-12
prek_1103,pre,mag,-1.8030864933687097e-12,1.7890623100008238e-12,3.5921488033695335e-12
prek_1103,pre,mag,-1.6373050821049386e-12,2.0286408888675204e-12,3.6659459709724595e-12
prek_1103,pre,mag,-1.346919345219147e-12,1.4900674800981164e-12,2.836986825317263e-12
prek_1103,pre,mag,-1.5399960241908942e-12,1.5905829335204728e-12,3.130578957711367e-12
prek_1103,pre,mag,-2.1807980366498084e-12,1.340815208807738e-12,3.5216132454575464e-12
prek_1103,pre,mag,-1.974186260858045e-12,1.940420714279299e-12,3.914606975137344e-12
prek_1103,pre,mag,-1.7474779276760621e-12,1.480444017264206e-12,3.227921944940268e-12
prek_1103,pre,mag,-1.6512637111886864e-12,1.2109822621252145e-12,2.862245973313901e-12
prek_1103,pre,mag,-1.7331511764083465e-12,2.1455130503870752e-12,3.878664226795422e-12
prek_1103,pre,mag,-1.7454089763379042e-12,1.7228986162677769e-12,3.468307592605681e-12
prek_1103,pre,mag,-1.1658034614934473e-12,1.7814379577622731e-12,2.9472414192557205e-12
prek_1103,pre,mag,-1.3035301990161156e-12,2.783090802099934e-12,4.08662100111605e-12
prek_1103,pre,mag,-1.5266823591027964e-12,1.6959802926547064e-12,3.222662651757503e-12
prek_1103,pre,mag,-1.4184574003646706e-12,1.5172371872048762e-12,2.9356945875695468e-12
prek_1103,pre,mag,-1.2118399198049648e-12,1.4983079789710408e-12,2.7101478987760055e-12
prek_1103,pre,mag,-2.108423756982181e-12,2.0732886889796254e-12,4.181712445961806e-12
prek_1103,pre,mag,-2.1101096197773884e-12,1.2498065258033821e-12,3.3599161455807705e-12
prek_1103,pre,mag,-1.725365467665578e-12,2.0480795161734526e-12,3.773444983839031e-12
prek_1103,pre,mag,-1.6895451727621108e-12,1.2831793273672615e-12,2.9727245001293722e-12
prek_1103,pre,mag,-1.4712755303359495e-12,1.946885909625519e-12,3.4181614399614686e-12
prek_1103,pre,mag,-2.0744174819787052e-12,1.3839679228665762e-12,3.4583854048452815e-12
prek_1103,pre,mag,-1.9701000073525805e-12,2.2630431404479617e-12,4.2331431478005426e-12
prek_1103,pre,mag,-1.3709693545396138e-12,1.5808209862495615e-12,2.9517903407891755e-12
prek_1103,pre,mag,-1.4569024997726013e-12,1.5872898777826157e-12,3.044192377555217e-12
prek_1103,pre,mag,-1.0534101281885098e-12,1.6147402830445263e-12,2.668150411233036e-12
prek_1103,pre,mag,-2.0701583423879883e-12,1.6590062126506457e-12,3.729164555038634e-12
